;Filename;Numb Firms;Numb Products;Avg Length;prices;avg_price;shares;avg_share;profits;avg_profit;collusion_quotient;avg_collusion_quotient;other_collusion_quotient;firm_shares;avg_firm_share;firm_profits;avg_firm_profit
0;2_firms;2;(1, 1);1854119.34;(1.797, 1.798);1.798;(0.407, 0.407);0.407;(0.321, 0.321);0.321;(0.86, 0.856);0.858;0.858;(0.407, 0.407);0.407;(0.321, 0.321);0.321
1;3_firms;3;(1, 1, 1);3035417.94;(1.694, 1.695, 1.693);1.694;(0.301, 0.299, 0.302);0.301;(0.203, 0.202, 0.203);0.203;(0.639, 0.634, 0.641);0.638;0.638;(0.301, 0.299, 0.302);0.301;(0.203, 0.202, 0.203);0.203
2;4_firms;4;(1, 1, 1, 1);8997506.27;(1.556, 1.555, 1.555, 1.559);1.556;(0.238, 0.238, 0.238, 0.235);0.237;(0.119, 0.12, 0.12, 0.119);0.119;(0.312, 0.318, 0.323, 0.317);0.318;0.318;(0.238, 0.238, 0.238, 0.235);0.237;(0.119, 0.12, 0.12, 0.119);0.119
3;5_firms;5;(1, 1, 1, 1, 1);10000001;(1.442, 1.442, 1.441, 1.442, 1.442);1.442;(0.196, 0.196, 0.196, 0.196, 0.196);0.196;(0.077, 0.077, 0.077, 0.077, 0.077);0.077;(0.142, 0.142, 0.143, 0.142, 0.143);0.142;0.142;(0.196, 0.196, 0.196, 0.196, 0.196);0.196;(0.077, 0.077, 0.077, 0.077, 0.077);0.077
4;assymetric2-1-1_one_price;3;(2, 1, 1);2958600.97;(1.747, 1.747, 1.668, 1.672);1.709;(0.192, 0.192, 0.269, 0.264);0.229;(0.14, 0.14, 0.17, 0.168);0.154;(0.49, 0.49, 0.736, 0.724);0.61;0.61;(0.383, 0.269, 0.264);0.305;(0.28, 0.17, 0.168);0.206
5;assymetric2-1-1_one_price_true_nash;3;(2, 1, 1);3026900.34;(1.772, 1.772, 1.688, 1.688);1.73;(0.188, 0.188, 0.267, 0.267);0.228;(0.142, 0.142, 0.175, 0.175);0.159;(0.506, 0.506, 0.779, 0.786);0.644;0.644;(0.376, 0.267, 0.267);0.303;(0.284, 0.175, 0.175);0.211
6;assymetric2-1;2;(2, 1);3361024.8;(1.748, 1.741, 1.644);1.711;(0.257, 0.265, 0.383);0.302;(0.186, 0.19, 0.235);0.204;(0.511, 0.54, 0.884);0.645;0.645;(0.522, 0.383);0.452;(0.377, 0.235);0.306
7;assymetric2-1_one_price;2;(2, 1);1745008.15;(1.847, 1.847, 1.736);1.81;(0.243, 0.243, 0.38);0.288;(0.204, 0.204, 0.277);0.229;(0.649, 0.649, 1.211);0.836;0.836;(0.486, 0.38);0.433;(0.409, 0.277);0.343
8;assymetric2-1_one_price_true_nash;2;(2, 1);1809601.84;(1.881, 1.881, 1.776);1.846;(0.239, 0.239, 0.366);0.282;(0.209, 0.209, 0.28);0.233;(0.685, 0.685, 1.229);0.867;0.867;(0.478, 0.366);0.422;(0.418, 0.28);0.349
9;assymetric2-2;2;(2, 2);1849234.02;(1.684, 1.684, 1.682, 1.685);1.684;(0.232, 0.232, 0.234, 0.232);0.232;(0.156, 0.155, 0.157, 0.155);0.156;(0.623, 0.615, 0.634, 0.612);0.621;0.621;(0.464, 0.466);0.465;(0.311, 0.312);0.312
10;assymetric2-2_half_price;2;(2, 2);1749713.93;(1.708, 1.708, 1.713, 1.711);1.71;(0.228, 0.228, 0.231, 0.234);0.23;(0.161, 0.161, 0.159, 0.159);0.16;(0.667, 0.667, 0.646, 0.649);0.658;0.658;(0.456, 0.465);0.46;(0.323, 0.318);0.32
11;assymetric2-2_one_price;2;(2, 2);1716083.94;(1.831, 1.831, 1.831, 1.831);1.831;(0.221, 0.221, 0.22, 0.22);0.221;(0.182, 0.182, 0.182, 0.182);0.182;(0.84, 0.84, 0.841, 0.841);0.84;0.84;(0.442, 0.441);0.442;(0.364, 0.364);0.364
12;assymetric2-2_one_price_true_nash;2;(2, 2);1821498.01;(1.884, 1.884, 1.888, 1.888);1.886;(0.216, 0.216, 0.213, 0.213);0.214;(0.188, 0.188, 0.186, 0.186);0.187;(0.889, 0.889, 0.875, 0.875);0.882;0.882;(0.431, 0.425);0.428;(0.376, 0.372);0.374
13;assymetric3-1_one_price;2;(3, 1);1720740.2;(1.899, 1.899, 1.899, 1.719);1.854;(0.174, 0.174, 0.174, 0.359);0.22;(0.156, 0.156, 0.156, 0.256);0.181;(0.62, 0.62, 0.62, 1.462);0.831;0.831;(0.522, 0.359);0.44;(0.467, 0.256);0.362
14;assymetric3-1_one_price_true_nash;2;(3, 1);1857214.04;(1.934, 1.934, 1.934, 1.763);1.891;(0.172, 0.172, 0.172, 0.345);0.216;(0.16, 0.16, 0.16, 0.259);0.185;(0.653, 0.653, 0.653, 1.488);0.862;0.862;(0.517, 0.345);0.431;(0.479, 0.259);0.369
15;mono;1;(2,);100000;(1.74, 1.74);1.74;(0.423, 0.423);0.423;(0.29, 0.29);0.29;(0.585, 0.586);0.586;0.586;(0.846,);0.846;(0.58,);0.58
16;mono_0_init_no_convergence;1;(2,);2000001;(1.863, 1.873);1.868;(0.394, 0.379);0.386;(0.333, 0.324);0.328;(0.962, 0.879);0.921;0.921;(0.772,);0.772;(0.657,);0.657
17;mono_0_init_no_convergence_one_price;1;(2,);2000001;(1.931, 1.931);1.931;(0.362, 0.362);0.362;(0.337, 0.337);0.337;(1.0, 1.0);1;1;(0.725,);0.725;(0.675,);0.675
18;mono_no_convergence;1;(2,);2000001;(1.931, 1.931);1.931;(0.362, 0.362);0.362;(0.337, 0.337);0.337;(1.0, 1.0);1;1;(0.725,);0.725;(0.675,);0.675
19;mono_no_convergence_one_price;1;(2,);2000001;(1.931, 1.931);1.931;(0.362, 0.362);0.362;(0.337, 0.337);0.337;(1.0, 1.0);1;1;(0.725,);0.725;(0.675,);0.675
20;mono_no_exploration;1;(2,);100000;(1.931, 1.931);1.931;(0.362, 0.362);0.362;(0.337, 0.337);0.337;(1.0, 1.0);1;1;(0.725,);0.725;(0.675,);0.675
21;2_firms_small_dif_qual;2;(1, 1);1842990.4;(1.85, 1.788);1.819;(0.446, 0.385);0.416;(0.375, 0.299);0.337;(0.683, 1.134);0.908;0.84;(0.446, 0.385);0.416;(0.375, 0.299);0.337
22;2_firms_big_dif_qual;2;(1, 1);1861894.44;(2.102, 1.787);1.944;(0.587, 0.287);0.437;(0.642, 0.22);0.431;(0.494, -10.488);-4.997;0.768;(0.587, 0.287);0.437;(0.642, 0.22);0.431
