         141204 function calls (138584 primitive calls) in 222.667 seconds

   Ordered by: cumulative time
   List reduced from 1747 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   10.769   10.769  222.667  222.667 c:\Users\anton\Documents\GitHub\BachelorProject\graph_3_firms_boxplot.py:14(main)
      303  195.886    0.646  195.886    0.646 {built-in method _pickle.load}
  902/794    0.005    0.000    9.412    0.012 {built-in method numpy.core._multiarray_umath.implement_array_function}
      303    0.002    0.000    9.400    0.031 <__array_function__ internals>:177(mean)
      303    0.045    0.000    9.397    0.031 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3345(mean)
      303    0.006    0.000    9.352    0.031 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:164(_mean)
      587    9.215    0.016    9.215    0.016 {built-in method numpy.asanyarray}
      314    3.862    0.012    3.862    0.012 {built-in method io.open}
      300    1.924    0.006    1.924    0.006 c:\Users\anton\Documents\GitHub\BachelorProject\graph_3_firms_boxplot.py:39(<listcomp>)
        1    0.000    0.000    0.697    0.697 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:2804(boxplot)
        4    0.000    0.000    0.672    0.168 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:2526(gca)
        5    0.000    0.000    0.643    0.129 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:987(gcf)
        1    0.000    0.000    0.643    0.643 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:777(figure)
        1    0.000    0.000    0.643    0.643 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:462(new_figure_manager)
        1    0.000    0.000    0.513    0.513 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3389(new_figure_manager)
        1    0.000    0.000    0.511    0.511 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3398(new_figure_manager_given_figure)
        1    0.000    0.000    0.511    0.511 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1774(new_manager)
        1    0.000    0.000    0.511    0.511 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:479(create_with_canvas)
        1    0.000    0.000    0.430    0.430 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2279(__init__)
        1    0.429    0.429    0.429    0.429 {built-in method _tkinter.create}
    36/11    0.000    0.000    0.155    0.014 <frozen importlib._bootstrap>:1022(_find_and_load)
    36/11    0.000    0.000    0.155    0.014 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    29/11    0.000    0.000    0.151    0.014 <frozen importlib._bootstrap>:664(_load_unlocked)
    47/11    0.000    0.000    0.146    0.013 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    39/17    0.000    0.000    0.141    0.008 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    14/10    0.000    0.000    0.141    0.014 {built-in method builtins.__import__}
    25/10    0.000    0.000    0.132    0.013 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.130    0.130 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:439(_warn_if_gui_out_of_main_thread)
        3    0.000    0.000    0.130    0.043 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:270(_get_backend_mod)
      6/1    0.000    0.000    0.130    0.130 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:284(switch_backend)
        5    0.000    0.000    0.127    0.025 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\importlib\__init__.py:108(import_module)
        5    0.000    0.000    0.127    0.025 <frozen importlib._bootstrap>:1038(_gcd_import)
      657    0.124    0.000    0.124    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    26/11    0.000    0.000    0.122    0.011 {built-in method builtins.exec}
       29    0.000    0.000    0.110    0.004 <frozen importlib._bootstrap>:564(module_from_spec)
        4    0.000    0.000    0.109    0.027 <frozen importlib._bootstrap_external>:1174(create_module)
        4    0.109    0.027    0.109    0.027 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.077    0.077 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_tkagg.py:1(<module>)
        1    0.000    0.000    0.075    0.075 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:1(<module>)
        1    0.000    0.000    0.071    0.071 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
        1    0.000    0.000    0.071    0.071 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3234(savefig)
        1    0.000    0.000    0.071    0.071 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2052(print_figure)
        1    0.000    0.000    0.071    0.071 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2043(<lambda>)
        1    0.000    0.000    0.071    0.071 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:450(print_png)
        1    0.000    0.000    0.071    0.071 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:440(_print_pil)
        1    0.000    0.000    0.056    0.056 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:381(draw)
        1    0.000    0.000    0.055    0.055 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
     90/1    0.000    0.000    0.055    0.055 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        1    0.000    0.000    0.055    0.055 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3134(draw)
      2/1    0.000    0.000    0.052    0.052 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)


         141204 function calls (138584 primitive calls) in 222.667 seconds

   Ordered by: internal time
   List reduced from 1747 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      303  195.886    0.646  195.886    0.646 {built-in method _pickle.load}
        1   10.769   10.769  222.667  222.667 c:\Users\anton\Documents\GitHub\BachelorProject\graph_3_firms_boxplot.py:14(main)
      587    9.215    0.016    9.215    0.016 {built-in method numpy.asanyarray}
      314    3.862    0.012    3.862    0.012 {built-in method io.open}
      300    1.924    0.006    1.924    0.006 c:\Users\anton\Documents\GitHub\BachelorProject\graph_3_firms_boxplot.py:39(<listcomp>)
        1    0.429    0.429    0.429    0.429 {built-in method _tkinter.create}
      657    0.124    0.000    0.124    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        4    0.109    0.027    0.109    0.027 {built-in method _imp.create_dynamic}
      328    0.049    0.000    0.049    0.000 {method '__exit__' of '_io._IOBase' objects}
      303    0.045    0.000    9.397    0.031 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3345(mean)
      166    0.037    0.000    0.037    0.000 {method 'call' of '_tkinter.tkapp' objects}
        8    0.012    0.002    0.012    0.002 {method 'encode' of 'ImagingEncoder' objects}
       25    0.012    0.000    0.012    0.000 {built-in method io.open_code}
        1    0.011    0.011    0.011    0.011 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:1493(_get_font)
      166    0.011    0.000    0.011    0.000 {built-in method nt.stat}
      160    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      303    0.006    0.000    0.007    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:67(_count_reduce_items)
      303    0.006    0.000    9.352    0.031 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:164(_mean)
  902/794    0.005    0.000    9.412    0.012 {built-in method numpy.core._multiarray_umath.implement_array_function}
       19    0.004    0.000    0.004    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
