         1179601479 function calls (1179550007 primitive calls) in 663.424 seconds

   Ordered by: cumulative time
   List reduced from 2044 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.820    0.820  663.766  663.766 C:\Users\anton\Documents\GitHub\BachelorProject\graph_default_assymetric2-1-1_one_price.py:17(main)
        1    0.042    0.042  657.472  657.472 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:20(make_graphs)
        4   22.519    5.630  626.813  156.703 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:9(averaging)
   164064  306.823    0.002  306.823    0.002 {built-in method numpy.array}
      400  174.988    0.437  288.636    0.722 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:12(<listcomp>)
293490724   29.241    0.000   29.241    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:56(<lambda>)
293490724   28.543    0.000   28.543    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:91(<lambda>)
293490724   28.311    0.000   28.311    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:120(<lambda>)
293490724   27.553    0.000   27.553    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:153(<lambda>)
      101   16.904    0.167   16.904    0.167 {built-in method _pickle.load}
90547/82908    7.656    0.000   15.025    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2451    0.003    0.000    7.589    0.003 <__array_function__ internals>:177(concatenate)
      400    0.001    0.000    7.246    0.018 <__array_function__ internals>:177(append)
      400    0.001    0.000    7.245    0.018 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\function_base.py:5444(append)
       19    0.000    0.000    5.532    0.291 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:3570(plot)
        1    0.000    0.000    5.465    5.465 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\SIMULATOR.py:72(setup)
        1    0.000    0.000    5.465    5.465 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\MARKET.py:60(set_priceranges)
       19    0.001    0.000    5.367    0.282 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_axes.py:1476(plot)
       38    0.010    0.000    3.547    0.093 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:233(__call__)
       19    0.001    0.000    3.536    0.186 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:401(_plot_args)
        3    0.081    0.027    3.417    1.139 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\Strategies\Qlearning_one_price.py:19(initialize)
     5524    0.004    0.000    3.413    0.001 <__array_function__ internals>:177(atleast_1d)
     5524    0.008    0.000    3.402    0.001 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
    12274    3.393    0.000    3.393    0.000 {built-in method numpy.asanyarray}
       38    0.000    0.000    3.390    0.089 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook.py:1348(_check_1d)
