         725429394 function calls (725386441 primitive calls) in 380.354 seconds

   Ordered by: cumulative time
   List reduced from 2044 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.293    0.293  380.369  380.369 C:\Users\anton\Documents\GitHub\BachelorProject\graph_default_assymetric2-1_one_price_true_nash.py:17(main)
        1    0.035    0.035  379.629  379.629 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:20(make_graphs)
        4   13.852    3.463  363.811   90.953 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:9(averaging)
    18253  174.506    0.010  174.506    0.010 {built-in method numpy.array}
      400  104.602    0.262  168.971    0.422 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:12(<listcomp>)
180960184   16.566    0.000   16.566    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:56(<lambda>)
180960184   16.097    0.000   16.097    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:120(<lambda>)
180960184   15.948    0.000   15.948    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:153(<lambda>)
180960184   15.758    0.000   15.758    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:91(<lambda>)
30817/25244    4.486    0.000   10.261    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      101    6.501    0.064    6.501    0.064 {built-in method _pickle.load}
     1896    0.002    0.000    4.459    0.002 <__array_function__ internals>:177(concatenate)
      400    0.001    0.000    4.231    0.011 <__array_function__ internals>:177(append)
      400    0.001    0.000    4.230    0.011 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\function_base.py:5444(append)
       15    0.000    0.000    3.656    0.244 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:3570(plot)
       15    0.000    0.000    3.510    0.234 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_axes.py:1476(plot)
       30    0.007    0.000    2.328    0.078 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:233(__call__)
       15    0.001    0.000    2.320    0.155 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:401(_plot_args)
     3181    0.002    0.000    2.235    0.001 <__array_function__ internals>:177(atleast_1d)
     3181    0.005    0.000    2.229    0.001 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
        9    0.000    0.000    2.226    0.247 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
        9    0.000    0.000    2.225    0.247 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3234(savefig)
        9    0.000    0.000    2.225    0.247 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2052(print_figure)
     8636    2.224    0.000    2.224    0.000 {built-in method numpy.asanyarray}
