         174435000 function calls (170401252 primitive calls) in 644.008 seconds

   Ordered by: cumulative time
   List reduced from 2073 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   24.870   24.870  644.013  644.013 C:\Users\anton\Documents\GitHub\BachelorProject\graph_default_assymetric2-1.py:16(main)
  4373875  284.826    0.000  284.826    0.000 {built-in method numpy.array}
        1    0.000    0.000  200.132  200.132 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\SIMULATOR.py:62(setup)
        1    0.000    0.000  200.132  200.132 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\MARKET.py:55(set_priceranges)
        1    0.012    0.012  199.568  199.568 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\MARKET.py:81(set_state_space)
     3375    0.051    0.000  199.556    0.059 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\STATE.py:11(__init__)
     3379    0.009    0.000  199.429    0.059 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:72(Newton)
     3379    0.013    0.000  199.420    0.059 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_minpack_py.py:47(fsolve)
     3379    0.048    0.000  199.406    0.059 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_minpack_py.py:183(_root_hybr)
     3376    0.009    0.000  199.315    0.059 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\MARKET.py:222(get_true_nash_profits)
     3377    0.009    0.000  199.301    0.059 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\MARKET.py:214(get_true_nash_prices)
    30411    0.085    0.000  199.183    0.007 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:77(<lambda>)
    30411    0.213    0.000  199.068    0.007 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:55(market_reaction)
    60822    0.450    0.000  198.833    0.003 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:41(Best_Response)
    60822    0.727    0.000  198.296    0.003 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_minimize.py:51(minimize)
     3379    0.104    0.000  196.426    0.058 {built-in method scipy.optimize._minpack._hybrd}
    60822    7.663    0.000  196.360    0.003 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_optimize.py:1375(_minimize_bfgs)
   270292    0.981    0.000  157.677    0.001 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_optimize.py:1199(_line_search_wolfe12)
   270292    0.740    0.000  148.596    0.001 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_linesearch.py:31(line_search_wolfe1)
   270292    3.638    0.000  147.332    0.001 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_linesearch.py:91(scalar_search_wolfe1)
   753582    0.446    0.000  124.298    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_differentiable_functions.py:254(_update_grad)
   500152    1.682    0.000  123.852    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_differentiable_functions.py:170(update_grad)
   500152   11.711    0.000  122.075    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_numdiff.py:275(approx_derivative)
   631936    2.454    0.000  117.884    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_linesearch.py:77(derphi)
   692760    0.823    0.000  114.287    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_differentiable_functions.py:270(grad)
19729946/15727327   27.361    0.000   93.030    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   500152    9.237    0.000   71.003    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_numdiff.py:566(_dense_difference)
  2081714    4.485    0.000   65.479    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_differentiable_functions.py:132(fun_wrapped)
  1500456    2.178    0.000   56.652    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_numdiff.py:455(fun_wrapped)
  2081714    1.863    0.000   54.163    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:42(<lambda>)
  2081714    9.133    0.000   50.279    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:13(Specific_Profit)
