         704364985 function calls (704321401 primitive calls) in 392.985 seconds

   Ordered by: cumulative time
   List reduced from 2050 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.581    0.581  394.867  394.867 C:\Users\anton\Documents\GitHub\BachelorProject\graph_default_assymetric2-2_half_price.py:18(main)
        1    0.032    0.032  386.429  386.429 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:20(make_graphs)
        4   16.995    4.249  365.414   91.354 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:9(averaging)
   161895  174.889    0.001  174.889    0.001 {built-in method numpy.array}
      400  101.980    0.255  165.582    0.414 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:12(<listcomp>)
174971393   16.072    0.000   16.072    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:56(<lambda>)
174971393   16.008    0.000   16.008    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:91(<lambda>)
174971393   15.825    0.000   15.825    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:120(<lambda>)
174971393   15.696    0.000   15.696    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:153(<lambda>)
82926/76723    5.717    0.000   12.856    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      101   10.425    0.103   10.425    0.103 {built-in method _pickle.load}
        1    0.000    0.000    7.804    7.804 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\SIMULATOR.py:72(setup)
        1    0.000    0.000    7.804    7.804 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\MARKET.py:60(set_priceranges)
     2051    0.003    0.000    5.651    0.003 <__array_function__ internals>:177(concatenate)
      400    0.001    0.000    5.387    0.013 <__array_function__ internals>:177(append)
      400    0.002    0.000    5.385    0.013 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\function_base.py:5444(append)
        1    0.028    0.028    4.522    4.522 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\Strategies\Qlearning.py:19(initialize)
       18    0.000    0.000    4.268    0.237 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:3570(plot)
       18    0.000    0.000    4.121    0.229 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_axes.py:1476(plot)
   101250    1.342    0.000    3.693    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\sortedcontainers\sorteddict.py:113(__init__)
        1    0.040    0.040    2.721    2.721 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\Strategies\Qlearning.py:44(<dictcomp>)
       36    0.007    0.000    2.718    0.076 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:233(__call__)
       18    0.001    0.000    2.710    0.151 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:401(_plot_args)
     4253    0.004    0.000    2.620    0.001 <__array_function__ internals>:177(atleast_1d)
     4253    0.007    0.000    2.610    0.001 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
    10028    2.601    0.000    2.601    0.000 {built-in method numpy.asanyarray}
       36    0.000    0.000    2.598    0.072 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook.py:1348(_check_1d)
        9    0.000    0.000    2.528    0.281 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
        9    0.000    0.000    2.528    0.281 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3234(savefig)
        9    0.000    0.000    2.527    0.281 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2052(print_figure)
