         338003696 function calls (337986859 primitive calls) in 1006.707 seconds

   Ordered by: cumulative time
   List reduced from 2251 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.549    0.549 1006.950 1006.950 C:\Users\anton\Documents\GitHub\BachelorProject\graph_default_assymetric2-2_one_price.py:17(main)
        1    0.012    0.012 1002.252 1002.252 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:74(make_graphs)
        1    0.000    0.000  784.386  784.386 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:64(make_best_actions_data)
        4    0.000    0.000  784.152  196.038 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\threading.py:589(wait)
        4    0.000    0.000  784.152  196.038 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\threading.py:288(wait)
       20  784.152   39.208  784.152   39.208 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000  784.150  784.150 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:369(starmap)
        1    0.000    0.000  784.150  784.150 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:767(get)
        1    0.000    0.000  784.150  784.150 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:764(wait)
        2    9.301    4.650  202.032  101.016 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:12(averaging)
   159674   99.649    0.001   99.649    0.001 {built-in method numpy.array}
      200   55.754    0.279   88.571    0.443 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:15(<listcomp>)
334270904   32.817    0.000   32.817    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:118(<lambda>)
      201   12.799    0.064   12.799    0.064 {built-in method _pickle.load}
77599/72371    3.278    0.000    5.734    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
