         1365338 function calls (1330542 primitive calls) in 348.776 seconds

   Ordered by: cumulative time
   List reduced from 1915 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   17.479   17.479  348.778  348.778 c:\Users\anton\Documents\GitHub\BachelorProject\graph_default_assymetric.py:16(main)
    26478  235.239    0.009  235.239    0.009 {built-in method numpy.array}
      100   28.286    0.283   28.286    0.283 c:\Users\anton\Documents\GitHub\BachelorProject\graph_default_assymetric.py:63(<listcomp>)
      100   27.283    0.273   27.283    0.273 c:\Users\anton\Documents\GitHub\BachelorProject\graph_default_assymetric.py:57(<listcomp>)
      101   22.972    0.227   22.972    0.227 {built-in method _pickle.load}
41811/35400    6.511    0.000   10.989    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1922    0.003    0.000    6.473    0.003 <__array_function__ internals>:177(concatenate)
      200    0.001    0.000    6.027    0.030 <__array_function__ internals>:177(append)
      200    0.002    0.000    6.025    0.030 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\function_base.py:5444(append)
        7    0.000    0.000    3.118    0.445 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
        7    0.000    0.000    3.118    0.445 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3234(savefig)
        7    0.000    0.000    3.117    0.445 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2052(print_figure)
        7    0.000    0.000    3.113    0.445 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2043(<lambda>)
        7    0.000    0.000    3.113    0.445 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:450(print_png)
        7    0.002    0.000    3.113    0.445 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:440(_print_pil)
       10    0.000    0.000    3.071    0.307 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:3570(plot)
        7    0.000    0.000    2.953    0.422 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:381(draw)
        7    0.000    0.000    2.951    0.422 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
    782/7    0.004    0.000    2.951    0.422 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        7    0.000    0.000    2.951    0.422 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3134(draw)
     14/7    0.000    0.000    2.946    0.421 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
        7    0.000    0.000    2.946    0.421 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:3005(draw)
       10    0.000    0.000    2.826    0.283 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_axes.py:1476(plot)
      277    0.005    0.000    2.369    0.009 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:738(draw)
       19    0.000    0.000    2.068    0.109 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:2300(add_line)
       19    0.001    0.000    2.061    0.108 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:2328(_update_line_limits)
      200    0.001    0.000    1.963    0.010 <__array_function__ internals>:177(tile)
      200    0.007    0.000    1.961    0.010 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\shape_base.py:1191(tile)
      200    1.950    0.010    1.950    0.010 {method 'repeat' of 'numpy.ndarray' objects}
      161    0.001    0.000    1.943    0.012 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:95(draw_path)
      161    1.932    0.012    1.942    0.012 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        8    0.142    0.018    1.627    0.203 c:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:130(moving_average)
        8    0.000    0.000    1.485    0.186 <__array_function__ internals>:177(convolve)
        8    0.000    0.000    1.485    0.186 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:755(convolve)
        8    1.484    0.186    1.484    0.186 {built-in method numpy.core._multiarray_umath.correlate}
      174    0.011    0.000    1.395    0.008 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:1029(get_path)
      260    0.145    0.001    1.394    0.005 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:666(recache)
    14160    0.836    0.000    0.837    0.000 {built-in method numpy.asarray}
       20    0.004    0.000    0.771    0.039 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:233(__call__)
       10    0.000    0.000    0.766    0.077 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:401(_plot_args)
        1    0.000    0.000    0.733    0.733 c:\Users\anton\Documents\GitHub\BachelorProject\Classes\SIMULATOR.py:61(setup)
        1    0.000    0.000    0.733    0.733 c:\Users\anton\Documents\GitHub\BachelorProject\Classes\MARKET.py:55(set_priceranges)
      119    0.001    0.000    0.671    0.006 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:858(update_from_path)
      119    0.669    0.006    0.670    0.006 {built-in method matplotlib._path.update_path_extents}
     4099    0.003    0.000    0.555    0.000 <__array_function__ internals>:177(atleast_1d)
     4099    0.006    0.000    0.547    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
     9808    0.540    0.000    0.540    0.000 {built-in method numpy.asanyarray}
       20    0.000    0.000    0.536    0.027 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook.py:1348(_check_1d)
       14    0.001    0.000    0.505    0.036 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:1379(draw)
       35    0.000    0.000    0.486    0.014 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:2526(gca)


         1365338 function calls (1330542 primitive calls) in 348.776 seconds

   Ordered by: internal time
   List reduced from 1915 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    26478  235.239    0.009  235.239    0.009 {built-in method numpy.array}
      100   28.286    0.283   28.286    0.283 c:\Users\anton\Documents\GitHub\BachelorProject\graph_default_assymetric.py:63(<listcomp>)
      100   27.283    0.273   27.283    0.273 c:\Users\anton\Documents\GitHub\BachelorProject\graph_default_assymetric.py:57(<listcomp>)
      101   22.972    0.227   22.972    0.227 {built-in method _pickle.load}
        1   17.479   17.479  348.778  348.778 c:\Users\anton\Documents\GitHub\BachelorProject\graph_default_assymetric.py:16(main)
41811/35400    6.511    0.000   10.989    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      200    1.950    0.010    1.950    0.010 {method 'repeat' of 'numpy.ndarray' objects}
      161    1.932    0.012    1.942    0.012 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        8    1.484    0.186    1.484    0.186 {built-in method numpy.core._multiarray_umath.correlate}
    14160    0.836    0.000    0.837    0.000 {built-in method numpy.asarray}
      119    0.669    0.006    0.670    0.006 {built-in method matplotlib._path.update_path_extents}
     9808    0.540    0.000    0.540    0.000 {built-in method numpy.asanyarray}
        2    0.355    0.177    0.398    0.199 c:\Users\anton\Documents\GitHub\BachelorProject\Classes\Strategies\Qlearning.py:18(initialize)
     1690    0.296    0.000    0.296    0.000 {method 'astype' of 'numpy.ndarray' objects}
    24298    0.231    0.000    0.231    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       20    0.225    0.011    0.225    0.011 {method '__copy__' of 'numpy.ndarray' objects}
      260    0.145    0.001    1.394    0.005 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:666(recache)
        8    0.142    0.018    1.627    0.203 c:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:130(moving_average)
     3804    0.127    0.000    0.127    0.000 {built-in method __new__ of type object at 0x00007FFF7DBF3920}
       14    0.114    0.008    0.114    0.008 {method 'encode' of 'ImagingEncoder' objects}
        1    0.097    0.097    0.097    0.097 {built-in method _tkinter.create}
       10    0.063    0.006    0.063    0.006 {built-in method matplotlib._path.is_sorted_and_has_non_nan}
    12842    0.062    0.000    0.151    0.000 c:\Users\anton\Documents\GitHub\BachelorProject\utils\config.py:19(__call__)
        8    0.047    0.006    0.089    0.011 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\function_base.py:23(linspace)
      201    0.045    0.000    0.045    0.000 {built-in method builtins.print}
      598    0.043    0.000    0.043    0.000 {built-in method numpy.arange}
      192    0.038    0.000    0.038    0.000 {method 'call' of '_tkinter.tkapp' objects}
    24137    0.034    0.000    0.040    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\__init__.py:703(_get)
      302    0.030    0.000    0.226    0.001 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:164(_mean)
     6750    0.029    0.000    0.029    0.000 c:\Users\anton\Documents\GitHub\BachelorProject\Classes\Strategies\Qlearning.py:43(<listcomp>)
     3375    0.026    0.000    0.188    0.000 c:\Users\anton\Documents\GitHub\BachelorProject\Classes\STATE.py:11(__init__)
      163    0.024    0.000    0.024    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    16225    0.024    0.000    0.071    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
15385/255    0.024    0.000    0.057    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\copy.py:128(deepcopy)
     9467    0.022    0.000    0.133    0.000 c:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:4(Profit)
      117    0.022    0.000    0.022    0.000 {built-in method io.open}
