         20570116 function calls (20554730 primitive calls) in 32.653 seconds

   Ordered by: cumulative time
   List reduced from 2252 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.043    0.043   32.661   32.661 C:\Users\anton\Documents\GitHub\BachelorProject\graph_default_mono_no_exploration.py:17(main)
        1    0.003    0.003   32.454   32.454 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:74(make_graphs)
        1    0.000    0.000   20.186   20.186 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:64(make_best_actions_data)
        4    0.000    0.000   20.043    5.011 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\threading.py:589(wait)
        4    0.000    0.000   20.043    5.011 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\threading.py:288(wait)
       20   20.043    1.002   20.043    1.002 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000   20.041   20.041 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:369(starmap)
        1    0.000    0.000   20.041   20.041 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:767(get)
        1    0.000    0.000   20.041   20.041 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:764(wait)
        2    0.175    0.088   10.499    5.250 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:12(averaging)
     5539    5.345    0.001    5.345    0.001 {built-in method numpy.array}
      200    2.832    0.014    4.609    0.023 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:15(<listcomp>)
 20000000    1.777    0.000    1.777    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:118(<lambda>)
      247    0.646    0.003    0.646    0.003 {built-in method io.open}
20467/15967    0.075    0.000    0.483    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      201    0.344    0.002    0.344    0.002 {built-in method _pickle.load}
     8100    0.328    0.000    0.328    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      202    0.001    0.000    0.319    0.002 <__array_function__ internals>:177(mean)
      202    0.001    0.000    0.318    0.002 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3345(mean)
      202    0.003    0.000    0.317    0.002 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:164(_mean)
        3    0.000    0.000    0.310    0.103 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:777(figure)
        3    0.000    0.000    0.310    0.103 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:462(new_figure_manager)
        3    0.000    0.000    0.265    0.088 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3389(new_figure_manager)
        3    0.000    0.000    0.263    0.088 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3398(new_figure_manager_given_figure)
        3    0.000    0.000    0.263    0.088 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1774(new_manager)
        3    0.000    0.000    0.263    0.088 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:479(create_with_canvas)
        3    0.000    0.000    0.243    0.081 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
        3    0.000    0.000    0.242    0.081 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3234(savefig)
        3    0.000    0.000    0.242    0.081 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2052(print_figure)
        3    0.000    0.000    0.241    0.080 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2043(<lambda>)
        3    0.000    0.000    0.241    0.080 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:450(print_png)
        3    0.001    0.000    0.241    0.080 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:440(_print_pil)
        3    0.000    0.000    0.181    0.060 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:381(draw)
        3    0.000    0.000    0.179    0.060 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
    295/3    0.001    0.000    0.179    0.060 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        3    0.000    0.000    0.179    0.060 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3134(draw)
      6/3    0.000    0.000    0.177    0.059 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
        3    0.000    0.000    0.177    0.059 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:3005(draw)
        3    0.000    0.000    0.173    0.058 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:72(Newton)
        3    0.000    0.000    0.173    0.058 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_minpack_py.py:47(fsolve)
        3    0.000    0.000    0.173    0.058 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_minpack_py.py:183(_root_hybr)
       42    0.000    0.000    0.173    0.004 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:77(<lambda>)
       42    0.000    0.000    0.172    0.004 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:55(market_reaction)
       50    0.000    0.000    0.172    0.003 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:41(Best_Response)
       50    0.001    0.000    0.172    0.003 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_minimize.py:51(minimize)
       50    0.005    0.000    0.170    0.003 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_optimize.py:1375(_minimize_bfgs)
        3    0.000    0.000    0.169    0.056 {built-in method scipy.optimize._minpack._hybrd}
        3    0.000    0.000    0.158    0.053 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2279(__init__)
        1    0.000    0.000    0.157    0.157 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\SIMULATOR.py:72(setup)
        1    0.000    0.000    0.157    0.157 C:\Users\anton\Documents\GitHub\BachelorProject\Classes\MARKET.py:61(set_priceranges)


         20570116 function calls (20554730 primitive calls) in 32.653 seconds

   Ordered by: internal time
   List reduced from 2252 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20   20.043    1.002   20.043    1.002 {method 'acquire' of '_thread.lock' objects}
     5539    5.345    0.001    5.345    0.001 {built-in method numpy.array}
      200    2.832    0.014    4.609    0.023 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:15(<listcomp>)
 20000000    1.777    0.000    1.777    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:118(<lambda>)
      247    0.646    0.003    0.646    0.003 {built-in method io.open}
      201    0.344    0.002    0.344    0.002 {built-in method _pickle.load}
     8100    0.328    0.000    0.328    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.175    0.088   10.499    5.250 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:12(averaging)
        3    0.157    0.052    0.157    0.052 {built-in method _tkinter.create}
       16    0.094    0.006    0.094    0.006 {built-in method _winapi.CreateProcess}
20467/15967    0.075    0.000    0.483    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      510    0.071    0.000    0.071    0.000 {method 'call' of '_tkinter.tkapp' objects}
       24    0.047    0.002    0.047    0.002 {method 'encode' of 'ImagingEncoder' objects}
        1    0.043    0.043   32.661   32.661 C:\Users\anton\Documents\GitHub\BachelorProject\graph_default_mono_no_exploration.py:17(main)
      759    0.041    0.000    0.043    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:2348(__init__)
      155    0.019    0.000    0.019    0.000 {built-in method _winapi.WaitForSingleObject}
     5966    0.017    0.000    0.017    0.000 {built-in method numpy.asanyarray}
       97    0.016    0.000    0.016    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        6    0.014    0.002    0.014    0.002 {built-in method _imp.create_dynamic}
      230    0.012    0.000    0.012    0.000 {built-in method nt.stat}
      492    0.012    0.000    0.101    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_numdiff.py:275(approx_derivative)
       34    0.011    0.000    0.011    0.000 {built-in method io.open_code}
       49    0.010    0.000    0.012    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1786    0.010    0.000    0.024    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\utils\config.py:20(__call__)
     1558    0.008    0.000    0.040    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:13(Specific_Profit)
  5910/98    0.007    0.000    0.017    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\copy.py:128(deepcopy)
      492    0.007    0.000    0.052    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_numdiff.py:566(_dense_difference)
     8282    0.007    0.000    0.007    0.000 {built-in method numpy.asarray}
       34    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
     1155    0.006    0.000    0.028    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:1176(_update_props)
     3758    0.006    0.000    0.018    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
    31394    0.006    0.000    0.008    0.000 {built-in method builtins.isinstance}
       50    0.005    0.000    0.170    0.003 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_optimize.py:1375(_minimize_bfgs)
    14585    0.005    0.000    0.007    0.000 {built-in method builtins.getattr}
        2    0.005    0.003    0.005    0.003 {built-in method numpy.core._multiarray_umath.correlate}
     9967    0.005    0.000    0.010    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\__init__.py:754(__getitem__)
      322    0.005    0.000    0.005    0.000 {built-in method builtins.sorted}
     1561    0.005    0.000    0.026    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:4(Profit)
      251    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.004    0.004    0.004    0.004 {method 'acquire' of '_multiprocessing.SemLock' objects}
12287/11137    0.004    0.000    0.007    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:317(stale)
       48    0.004    0.000    0.004    0.000 {built-in method nt._getfinalpathname}
       48    0.004    0.000    0.004    0.000 {method 'write' of '_io.BufferedRandom' objects}
      876    0.004    0.000    0.007    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook.py:1743(normalize_kwargs)
     2601    0.004    0.000    0.021    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
     2446    0.004    0.000    0.007    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook.py:285(process)
       16    0.004    0.000    0.004    0.000 {built-in method _winapi.TerminateProcess}
      118    0.004    0.000    0.032    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\text.py:358(_get_layout)
     1558    0.004    0.000    0.052    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\scipy\optimize\_differentiable_functions.py:132(fun_wrapped)
     9969    0.004    0.000    0.005    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\__init__.py:703(_get)


         20570116 function calls (20554730 primitive calls) in 32.653 seconds

   Ordered by: call count
   List reduced from 2252 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 20000000    1.777    0.000    1.777    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:118(<lambda>)
    31394    0.006    0.000    0.008    0.000 {built-in method builtins.isinstance}
    20941    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
20467/15967    0.075    0.000    0.483    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    16612    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
    14585    0.005    0.000    0.007    0.000 {built-in method builtins.getattr}
12287/11137    0.004    0.000    0.007    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:317(stale)
11211/11156    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    10312    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     9974    0.002    0.000    0.002    0.000 {function RcParams.__getitem__ at 0x00000117373083A0}
     9969    0.004    0.000    0.005    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\__init__.py:703(_get)
     9967    0.005    0.000    0.010    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\__init__.py:754(__getitem__)
     9410    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     8282    0.007    0.000    0.007    0.000 {built-in method numpy.asarray}
     8100    0.328    0.000    0.328    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5966    0.017    0.000    0.017    0.000 {built-in method numpy.asanyarray}
  5910/98    0.007    0.000    0.017    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\copy.py:128(deepcopy)
     5539    5.345    0.001    5.345    0.001 {built-in method numpy.array}
     4937    0.003    0.000    0.004    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\_api\__init__.py:99(check_in_list)
     4572    0.001    0.000    0.001    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\copy.py:182(_deepcopy_atomic)
     3937    0.001    0.000    0.001    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:293(axes)
     3758    0.002    0.000    0.002    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
     3758    0.006    0.000    0.018    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
     3754    0.002    0.000    0.002    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:113(__init__)
     3700    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     3368    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
     3242    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     3187    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
3185/3005    0.002    0.000    0.011    0.000 {built-in method builtins.next}
     2601    0.000    0.000    0.000    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:19(_atleast_1d_dispatcher)
     2601    0.004    0.000    0.021    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
     2601    0.002    0.000    0.027    0.000 <__array_function__ internals>:177(atleast_1d)
     2595    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     2490    0.003    0.000    0.005    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook.py:2011(_setattr_cm)
     2449    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
     2446    0.004    0.000    0.007    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook.py:285(process)
     2419    0.001    0.000    0.008    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:416(pchanged)
     2358    0.001    0.000    0.002    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\abc.py:117(__instancecheck__)
     2358    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     2275    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
     2095    0.001    0.000    0.001    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\function_base.py:346(iterable)
     2078    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
     2074    0.000    0.000    0.000    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2183(_sum_dispatcher)
     2074    0.003    0.000    0.013    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2188(sum)
     2074    0.002    0.000    0.016    0.000 <__array_function__ internals>:177(sum)
     2071    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     2057    0.002    0.000    0.003    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1769(__init__)
     1933    0.003    0.000    0.008    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\copy.py:66(copy)
     1924    0.000    0.000    0.000    0.000 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\multiarray.py:740(dot)
     1924    0.001    0.000    0.005    0.000 <__array_function__ internals>:177(dot)
     1891    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
     1876    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFD37433920}
