         20588760 function calls (20572440 primitive calls) in 36.615 seconds

   Ordered by: cumulative time
   List reduced from 2252 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.055    0.055   36.622   36.622 C:\Users\anton\Documents\GitHub\BachelorProject\graph_default_mono.py:17(main)
        1    0.003    0.003   36.382   36.382 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:74(make_graphs)
        1    0.000    0.000   24.097   24.097 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:64(make_best_actions_data)
        4    0.000    0.000   23.884    5.971 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\threading.py:589(wait)
        4    0.000    0.000   23.884    5.971 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\threading.py:288(wait)
       20   23.884    1.194   23.884    1.194 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000   23.882   23.882 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:369(starmap)
        1    0.000    0.000   23.882   23.882 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:767(get)
        1    0.000    0.000   23.882   23.882 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:764(wait)
        2    0.178    0.089   10.271    5.135 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:12(averaging)
     5583    5.182    0.001    5.182    0.001 {built-in method numpy.array}
      200    2.762    0.014    4.549    0.023 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:15(<listcomp>)
 20000000    1.787    0.000    1.787    0.000 C:\Users\anton\Documents\GitHub\BachelorProject\graph_maker.py:118(<lambda>)
      201    0.648    0.003    0.648    0.003 {built-in method _pickle.load}
      247    0.643    0.003    0.643    0.003 {built-in method io.open}
20519/16017    0.077    0.000    0.474    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     8158    0.319    0.000    0.319    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      202    0.000    0.000    0.310    0.002 <__array_function__ internals>:177(mean)
      202    0.001    0.000    0.309    0.002 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3345(mean)
      202    0.003    0.000    0.308    0.002 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:164(_mean)
        3    0.000    0.000    0.294    0.098 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:777(figure)
        3    0.000    0.000    0.294    0.098 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:462(new_figure_manager)
        3    0.000    0.000    0.263    0.088 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
        3    0.000    0.000    0.262    0.087 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3234(savefig)
        3    0.000    0.000    0.262    0.087 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2052(print_figure)
