         241514 function calls (238120 primitive calls) in 514.355 seconds

   Ordered by: cumulative time
   List reduced from 1675 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   19.649   19.649  514.355  514.355 C:\Users\anton\Documents\GitHub\BachelorProject\graph_discount_factor_multifirm.py:15(main)
     2500  397.569    0.159  397.569    0.159 {built-in method _pickle.load}
     2525    0.010    0.000   68.452    0.027 <__array_function__ internals>:177(mean)
3020/2916    0.010    0.000   68.450    0.023 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2525    0.331    0.000   68.434    0.027 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3345(mean)
     2525    0.031    0.000   68.103    0.027 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:164(_mean)
     2738   67.510    0.025   67.510    0.025 {built-in method numpy.asanyarray}
     2510   21.069    0.008   21.069    0.008 {built-in method io.open}
     2500    7.041    0.003    7.041    0.003 C:\Users\anton\Documents\GitHub\BachelorProject\graph_discount_factor_multifirm.py:41(<listcomp>)
     2931    0.522    0.000    0.522    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.224    0.224 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:777(figure)
        1    0.000    0.000    0.224    0.224 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:462(new_figure_manager)
     2525    0.173    0.000    0.173    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.165    0.165 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3389(new_figure_manager)
        1    0.000    0.000    0.164    0.164 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3398(new_figure_manager_given_figure)
        1    0.000    0.000    0.164    0.164 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1774(new_manager)
        1    0.000    0.000    0.164    0.164 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:479(create_with_canvas)
        1    0.000    0.000    0.091    0.091 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
        1    0.000    0.000    0.091    0.091 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3234(savefig)
        1    0.000    0.000    0.091    0.091 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2052(print_figure)
        1    0.000    0.000    0.091    0.091 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2043(<lambda>)
        1    0.000    0.000    0.091    0.091 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:450(print_png)
        1    0.000    0.000    0.091    0.091 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:440(_print_pil)
        1    0.000    0.000    0.089    0.089 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2279(__init__)
        1    0.089    0.089    0.089    0.089 {built-in method _tkinter.create}
    36/11    0.000    0.000    0.067    0.006 <frozen importlib._bootstrap>:1022(_find_and_load)
        1    0.000    0.000    0.067    0.067 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:381(draw)
    36/11    0.000    0.000    0.066    0.006 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
