         255482 function calls (251383 primitive calls) in 380.746 seconds

   Ordered by: cumulative time
   List reduced from 1675 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   10.785   10.785  380.746  380.746 c:\Users\anton\Documents\GitHub\BachelorProject\graph_discount_factor.py:15(main)
     2500  252.895    0.101  252.895    0.101 {built-in method _pickle.load}
     2525    0.010    0.000   70.961    0.028 <__array_function__ internals>:177(mean)
3068/2958    0.012    0.000   70.960    0.024 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2525    0.314    0.000   70.941    0.028 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3345(mean)
     2525    0.038    0.000   70.627    0.028 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:164(_mean)
     2768   69.957    0.025   69.957    0.025 {built-in method numpy.asanyarray}
     2510   37.719    0.015   37.719    0.015 {built-in method io.open}
     2500    7.227    0.003    7.227    0.003 c:\Users\anton\Documents\GitHub\BachelorProject\graph_discount_factor.py:40(<listcomp>)
        1    0.000    0.000    0.747    0.747 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:777(figure)
        1    0.000    0.000    0.747    0.747 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:462(new_figure_manager)
        1    0.000    0.000    0.591    0.591 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3389(new_figure_manager)
        1    0.000    0.000    0.589    0.589 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3398(new_figure_manager_given_figure)
        1    0.000    0.000    0.589    0.589 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1774(new_manager)
        1    0.000    0.000    0.589    0.589 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:479(create_with_canvas)
     2979    0.581    0.000    0.581    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.482    0.482 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2279(__init__)
        1    0.481    0.481    0.481    0.481 {built-in method _tkinter.create}
    36/11    0.000    0.000    0.199    0.018 <frozen importlib._bootstrap>:1022(_find_and_load)
    36/11    0.000    0.000    0.199    0.018 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    29/11    0.000    0.000    0.193    0.018 <frozen importlib._bootstrap>:664(_load_unlocked)
    47/11    0.000    0.000    0.189    0.017 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     2525    0.187    0.000    0.187    0.000 {method '__exit__' of '_io._IOBase' objects}
    39/17    0.000    0.000    0.184    0.011 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    14/10    0.000    0.000    0.184    0.018 {built-in method builtins.__import__}
    25/10    0.000    0.000    0.168    0.017 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.156    0.156 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:439(_warn_if_gui_out_of_main_thread)
        3    0.000    0.000    0.156    0.052 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:270(_get_backend_mod)
      6/1    0.000    0.000    0.156    0.156 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:284(switch_backend)
        5    0.000    0.000    0.153    0.031 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\importlib\__init__.py:108(import_module)
        5    0.000    0.000    0.153    0.031 <frozen importlib._bootstrap>:1038(_gcd_import)
    26/11    0.000    0.000    0.149    0.014 {built-in method builtins.exec}
       29    0.000    0.000    0.137    0.005 <frozen importlib._bootstrap>:564(module_from_spec)
        4    0.000    0.000    0.135    0.034 <frozen importlib._bootstrap_external>:1174(create_module)
        4    0.135    0.034    0.135    0.034 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.127    0.127 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
        1    0.000    0.000    0.127    0.127 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3234(savefig)
        1    0.000    0.000    0.127    0.127 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2052(print_figure)
        1    0.000    0.000    0.127    0.127 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2043(<lambda>)
        1    0.000    0.000    0.127    0.127 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:450(print_png)
        1    0.000    0.000    0.127    0.127 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:440(_print_pil)
        1    0.000    0.000    0.100    0.100 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:381(draw)
        1    0.000    0.000    0.098    0.098 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
    106/1    0.000    0.000    0.098    0.098 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        1    0.000    0.000    0.098    0.098 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3134(draw)
      2/1    0.000    0.000    0.095    0.095 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
        1    0.000    0.000    0.095    0.095 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:3005(draw)
        2    0.000    0.000    0.090    0.045 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:1379(draw)
        1    0.000    0.000    0.082    0.082 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_tkagg.py:1(<module>)
        1    0.000    0.000    0.081    0.081 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:1(<module>)


         255482 function calls (251383 primitive calls) in 380.746 seconds

   Ordered by: internal time
   List reduced from 1675 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2500  252.895    0.101  252.895    0.101 {built-in method _pickle.load}
     2768   69.957    0.025   69.957    0.025 {built-in method numpy.asanyarray}
     2510   37.719    0.015   37.719    0.015 {built-in method io.open}
        1   10.785   10.785  380.746  380.746 c:\Users\anton\Documents\GitHub\BachelorProject\graph_discount_factor.py:15(main)
     2500    7.227    0.003    7.227    0.003 c:\Users\anton\Documents\GitHub\BachelorProject\graph_discount_factor.py:40(<listcomp>)
     2979    0.581    0.000    0.581    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.481    0.481    0.481    0.481 {built-in method _tkinter.create}
