         672697 function calls (663575 primitive calls) in 1423.712 seconds

   Ordered by: cumulative time
   List reduced from 1803 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   49.981   49.981 1423.712 1423.712 c:\Users\anton\Documents\GitHub\BachelorProject\graph_discount_factor_together.py:14(main)
     7500 1035.567    0.138 1035.567    0.138 {built-in method _pickle.load}
     7650    0.022    0.000  203.219    0.027 <__array_function__ internals>:177(mean)
9090/8834    0.026    0.000  203.210    0.023 {built-in method numpy.core._multiarray_umath.implement_array_function}
     7650    0.981    0.000  203.172    0.027 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3345(mean)
     7650    0.092    0.000  202.190    0.026 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:164(_mean)
     8184  200.603    0.025  200.603    0.025 {built-in method numpy.asanyarray}
     7520  112.070    0.015  112.070    0.015 {built-in method io.open}
     7500   20.616    0.003   20.616    0.003 c:\Users\anton\Documents\GitHub\BachelorProject\graph_discount_factor_together.py:48(<listcomp>)
     8697    1.371    0.000    1.371    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     7525    1.165    0.000    1.165    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.623    0.311 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:777(figure)
        2    0.000    0.000    0.622    0.311 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:462(new_figure_manager)
        2    0.000    0.000    0.472    0.236 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3389(new_figure_manager)
        2    0.000    0.000    0.470    0.235 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3398(new_figure_manager_given_figure)
        2    0.000    0.000    0.470    0.235 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1774(new_manager)
        2    0.000    0.000    0.470    0.235 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:479(create_with_canvas)
        2    0.000    0.000    0.362    0.181 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2279(__init__)
        2    0.361    0.181    0.361    0.181 {built-in method _tkinter.create}
        2    0.000    0.000    0.219    0.109 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
