         442005 function calls (431673 primitive calls) in 356.451 seconds

   Ordered by: cumulative time
   List reduced from 1760 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   15.973   15.973  356.451  356.451 c:\Users\anton\Documents\GitHub\BachelorProject\graph_firms_more_boxplot.py:14(main)
      900  297.296    0.330  297.296    0.330 {built-in method _pickle.load}
3570/3145    0.015    0.000   35.140    0.011 {built-in method numpy.core._multiarray_umath.implement_array_function}
      918    0.006    0.000   35.105    0.038 <__array_function__ internals>:177(mean)
      918    0.263    0.000   35.093    0.038 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3345(mean)
      918    0.022    0.000   34.830    0.038 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:164(_mean)
     2202   34.240    0.016   34.240    0.016 {built-in method numpy.asanyarray}
      900    4.703    0.005    4.703    0.005 c:\Users\anton\Documents\GitHub\BachelorProject\graph_firms_more_boxplot.py:36(<listcomp>)
      920    2.085    0.002    2.085    0.002 {built-in method io.open}
        2    0.000    0.000    0.549    0.275 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:777(figure)
        2    0.000    0.000    0.549    0.275 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:462(new_figure_manager)
     2173    0.547    0.000    0.547    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.445    0.223 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3389(new_figure_manager)
        2    0.000    0.000    0.443    0.221 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3398(new_figure_manager_given_figure)
        2    0.000    0.000    0.443    0.221 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1774(new_manager)
        2    0.000    0.000    0.443    0.221 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:479(create_with_canvas)
        2    0.000    0.000    0.318    0.159 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
        2    0.000    0.000    0.318    0.159 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3234(savefig)
        2    0.000    0.000    0.318    0.159 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2052(print_figure)
        2    0.000    0.000    0.316    0.158 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2043(<lambda>)
        2    0.000    0.000    0.316    0.158 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:450(print_png)
        2    0.001    0.000    0.316    0.158 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:440(_print_pil)
        2    0.000    0.000    0.290    0.145 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2279(__init__)
        2    0.288    0.144    0.288    0.144 {built-in method _tkinter.create}
        2    0.000    0.000    0.244    0.122 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:2804(boxplot)
        2    0.000    0.000    0.237    0.118 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:381(draw)
        2    0.000    0.000    0.234    0.117 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
    351/2    0.002    0.000    0.234    0.117 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        2    0.000    0.000    0.234    0.117 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3134(draw)
      4/2    0.000    0.000    0.228    0.114 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
        2    0.000    0.000    0.228    0.114 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:3005(draw)
        4    0.000    0.000    0.170    0.043 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:1379(draw)
        2    0.000    0.000    0.170    0.085 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\__init__.py:1475(inner)
        2    0.000    0.000    0.170    0.085 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_axes.py:3744(boxplot)
        2    0.002    0.001    0.161    0.080 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_axes.py:4055(bxp)
      135    0.001    0.000    0.143    0.001 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_axes.py:4213(do_plot)
      135    0.002    0.000    0.142    0.001 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_axes.py:1476(plot)
    36/11    0.000    0.000    0.117    0.011 <frozen importlib._bootstrap>:1022(_find_and_load)
    36/11    0.000    0.000    0.116    0.011 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        2    0.000    0.000    0.104    0.052 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:439(_warn_if_gui_out_of_main_thread)
        6    0.000    0.000    0.104    0.017 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:270(_get_backend_mod)
      6/1    0.000    0.000    0.104    0.104 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:284(switch_backend)
    29/11    0.000    0.000    0.102    0.009 <frozen importlib._bootstrap>:664(_load_unlocked)
       45    0.000    0.000    0.101    0.002 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axis.py:1555(_get_tick)
        4    0.000    0.000    0.097    0.024 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:1381(clear)
        4    0.001    0.000    0.097    0.024 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:1254(__clear)
    25/10    0.000    0.000    0.096    0.010 <frozen importlib._bootstrap_external>:877(exec_module)
    47/11    0.000    0.000    0.096    0.009 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      340    0.094    0.000    0.094    0.000 {method 'call' of '_tkinter.tkapp' objects}
        5    0.000    0.000    0.090    0.018 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\importlib\__init__.py:108(import_module)


         442005 function calls (431673 primitive calls) in 356.451 seconds

   Ordered by: internal time
   List reduced from 1760 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      900  297.296    0.330  297.296    0.330 {built-in method _pickle.load}
     2202   34.240    0.016   34.240    0.016 {built-in method numpy.asanyarray}
        1   15.973   15.973  356.451  356.451 c:\Users\anton\Documents\GitHub\BachelorProject\graph_firms_more_boxplot.py:14(main)
      900    4.703    0.005    4.703    0.005 c:\Users\anton\Documents\GitHub\BachelorProject\graph_firms_more_boxplot.py:36(<listcomp>)
      920    2.085    0.002    2.085    0.002 {built-in method io.open}
     2173    0.547    0.000    0.547    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.288    0.144    0.288    0.144 {built-in method _tkinter.create}
      918    0.263    0.000   35.093    0.038 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3345(mean)
      340    0.094    0.000    0.094    0.000 {method 'call' of '_tkinter.tkapp' objects}
       16    0.072    0.004    0.072    0.004 {method 'encode' of 'ImagingEncoder' objects}
      925    0.060    0.000    0.060    0.000 {method '__exit__' of '_io._IOBase' objects}
        4    0.043    0.011    0.043    0.011 {built-in method _imp.create_dynamic}
