         132801978 function calls (132736469 primitive calls) in 142.258 seconds

   Ordered by: cumulative time
   List reduced from 2451 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003  142.261  142.261 c:\Users\Ludvig\Documents\GitHub\BachelorProject\graph_heatmap_alpha_beta_new.py:13(main)
        2    0.000    0.000  141.642   70.821 c:\Users\Ludvig\Documents\GitHub\BachelorProject\Classes\SIMULATOR.py:81(simulate_sessions)
        2    0.000    0.000  141.284   70.642 c:\Users\Ludvig\Documents\GitHub\BachelorProject\Classes\SIMULATOR.py:69(session)
        2   24.097   12.049  141.077   70.539 c:\Users\Ludvig\Documents\GitHub\BachelorProject\Classes\MARKET.py:99(simulate)
  7520362    4.861    0.000   64.790    0.000 c:\Users\Ludvig\Documents\GitHub\BachelorProject\Classes\FIRM.py:36(get_action)
  7520362   13.172    0.000   59.929    0.000 c:\Users\Ludvig\Documents\GitHub\BachelorProject\Classes\Strategies\Qlearning.py:46(get_action)
  7520358    4.138    0.000   49.517    0.000 c:\Users\Ludvig\Documents\GitHub\BachelorProject\Classes\FIRM.py:47(update_strategy)
  7520358   17.877    0.000   45.379    0.000 c:\Users\Ludvig\Documents\GitHub\BachelorProject\Classes\Strategies\Qlearning.py:67(update_strategy)
  7520358   16.214    0.000   27.502    0.000 c:\Users\Ludvig\Documents\GitHub\BachelorProject\Classes\Strategies\Qlearning.py:82(update_best_actions)
  7520366    7.243    0.000   19.491    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\random.py:367(choice)
  7520362   16.069    0.000   16.069    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
  7520362   11.032    0.000   11.032    0.000 c:\Users\Ludvig\Documents\GitHub\BachelorProject\utils\config.py:18(Calvani_Exploration_Rate)
  7520366    7.371    0.000   10.275    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\random.py:235(_randbelow_with_getrandbits)
  1920946    9.335    0.000    9.335    0.000 c:\Users\Ludvig\Documents\GitHub\BachelorProject\Classes\Strategies\Qlearning.py:110(<listcomp>)
32026964/32026099    4.182    0.000    4.182    0.000 {built-in method builtins.len}
 14107355    1.876    0.000    1.876    0.000 {method 'getrandbits' of '_random.Random' objects}
  1923513    1.383    0.000    1.383    0.000 {built-in method builtins.max}
  7520366    1.028    0.000    1.028    0.000 {method 'bit_length' of 'int' objects}
  3811068    0.766    0.000    0.766    0.000 {method 'append' of 'list' objects}
