         974937 function calls (954777 primitive calls) in 248.632 seconds

   Ordered by: cumulative time
   List reduced from 2590 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.036    0.036  248.679  248.679 c:\Users\anton\Documents\GitHub\BachelorProject\graph_heatmap_alpha_beta.py:13(main)
        4    0.000    0.000  246.858   61.714 c:\Users\anton\Documents\GitHub\BachelorProject\Classes\SIMULATOR.py:87(simulate_sessions)
       16    0.000    0.000  244.595   15.287 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\threading.py:589(wait)
       16    0.000    0.000  244.595   15.287 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\threading.py:288(wait)
       77  244.594    3.177  244.594    3.177 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000  244.551   61.138 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:369(starmap)
        4    0.000    0.000  244.550   61.138 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:767(get)
        4    0.000    0.000  244.550   61.138 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:764(wait)
       12    0.914    0.076    0.914    0.076 {built-in method _pickle.dump}
        1    0.000    0.000    0.867    0.867 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:3325(imshow)
        4    0.000    0.000    0.864    0.216 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:2526(gca)
        7    0.000    0.000    0.834    0.119 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:987(gcf)
        1    0.000    0.000    0.834    0.834 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:777(figure)
        1    0.000    0.000    0.834    0.834 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:462(new_figure_manager)
        1    0.000    0.000    0.655    0.655 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3389(new_figure_manager)
        1    0.000    0.000    0.655    0.655 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:3398(new_figure_manager_given_figure)
        1    0.000    0.000    0.655    0.655 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:1774(new_manager)
        1    0.000    0.000    0.655    0.655 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\_backend_tk.py:479(create_with_canvas)
        4    0.000    0.000    0.631    0.158 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\context.py:115(Pool)
        4    0.001    0.000    0.623    0.156 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:183(__init__)
        4    0.000    0.000    0.568    0.142 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:305(_repopulate_pool)
        4    0.001    0.000    0.568    0.142 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\pool.py:314(_repopulate_pool_static)
       64    0.001    0.000    0.564    0.009 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\process.py:110(start)
       64    0.001    0.000    0.559    0.009 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\context.py:333(_Popen)
       64    0.003    0.000    0.555    0.009 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\multiprocessing\popen_spawn_win32.py:44(__init__)
        1    0.000    0.000    0.552    0.552 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2279(__init__)
        1    0.551    0.551    0.551    0.551 {built-in method _tkinter.create}
       64    0.503    0.008    0.503    0.008 {built-in method _winapi.CreateProcess}
        4    0.000    0.000    0.491    0.123 c:\Users\anton\Documents\GitHub\BachelorProject\Classes\SIMULATOR.py:52(setup)
        4    0.000    0.000    0.491    0.123 c:\Users\anton\Documents\GitHub\BachelorProject\Classes\MARKET.py:55(set_priceranges)
        1    0.000    0.000    0.488    0.488 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
        1    0.000    0.000    0.488    0.488 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3234(savefig)
        1    0.000    0.000    0.488    0.488 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2052(print_figure)
        1    0.000    0.000    0.488    0.488 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2043(<lambda>)
        1    0.000    0.000    0.488    0.488 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:450(print_png)
        1    0.000    0.000    0.488    0.488 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:440(_print_pil)
        1    0.000    0.000    0.472    0.472 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:381(draw)
        1    0.000    0.000    0.471    0.471 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
    194/1    0.001    0.000    0.471    0.471 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        1    0.000    0.000    0.471    0.471 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3134(draw)
