         305185120 function calls (305107517 primitive calls) in 973.901 seconds

   Ordered by: cumulative time
   List reduced from 1921 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   46.273   46.273  973.908  973.908 c:\Users\anton\Documents\GitHub\BachelorProject\graph_merger.py:30(main)
    34488  576.898    0.017  576.898    0.017 {built-in method numpy.array}
16580/15512    0.012    0.000   94.604    0.006 {built-in method builtins.next}
        1    0.001    0.001   94.486   94.486 c:\Users\anton\Documents\GitHub\BachelorProject\graph_merger.py:62(<listcomp>)
      200   68.333    0.342   94.484    0.472 c:\Users\anton\Documents\GitHub\BachelorProject\graph_merger.py:62(<genexpr>)
      101   66.614    0.660   66.614    0.660 {built-in method _pickle.load}
      100   49.895    0.499   49.895    0.499 c:\Users\anton\Documents\GitHub\BachelorProject\graph_merger.py:67(<listcomp>)
      100   47.207    0.472   47.207    0.472 c:\Users\anton\Documents\GitHub\BachelorProject\graph_merger.py:71(<listcomp>)
      100   26.788    0.268   26.788    0.268 c:\Users\anton\Documents\GitHub\BachelorProject\graph_merger.py:208(<listcomp>)
302533040/302532650   26.160    0.000   26.161    0.000 {built-in method builtins.len}
58116/48508   15.125    0.000   25.612    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
      100   23.495    0.235   23.495    0.235 c:\Users\anton\Documents\GitHub\BachelorProject\graph_merger.py:212(<listcomp>)
     3127    0.013    0.000   14.949    0.005 <__array_function__ internals>:177(concatenate)
      400    0.003    0.000   13.898    0.035 <__array_function__ internals>:177(append)
      400    0.003    0.000   13.892    0.035 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\function_base.py:5444(append)
       20    0.000    0.000    8.655    0.433 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:3570(plot)
       15    0.000    0.000    7.293    0.486 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:1114(savefig)
       15    0.000    0.000    7.293    0.486 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3234(savefig)
       15    0.001    0.000    7.292    0.486 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2052(print_figure)
       15    0.000    0.000    7.284    0.486 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backend_bases.py:2043(<lambda>)
       15    0.000    0.000    7.284    0.486 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:450(print_png)
       15    0.002    0.000    7.284    0.486 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:440(_print_pil)
       15    0.000    0.000    7.025    0.468 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:381(draw)
       15    0.000    0.000    7.017    0.468 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:93(draw_wrapper)
  1877/15    0.009    0.000    7.017    0.468 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
       15    0.001    0.000    7.017    0.468 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:3134(draw)
    30/15    0.001    0.000    7.004    0.467 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
       15    0.000    0.000    7.004    0.467 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:3005(draw)
       20    0.001    0.000    6.926    0.346 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_axes.py:1476(plot)
      650    0.012    0.000    5.593    0.009 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:738(draw)
       38    0.001    0.000    5.023    0.132 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:2300(add_line)
       38    0.001    0.000    5.009    0.132 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:2328(_update_line_limits)
      428    0.002    0.000    4.615    0.011 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:95(draw_path)
      428    4.588    0.011    4.612    0.011 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      400    0.002    0.000    4.059    0.010 <__array_function__ internals>:177(tile)
      400    0.013    0.000    4.056    0.010 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\shape_base.py:1191(tile)
      400    4.037    0.010    4.037    0.010 {method 'repeat' of 'numpy.ndarray' objects}
       16    0.354    0.022    3.893    0.243 c:\Users\anton\Documents\GitHub\BachelorProject\utils\lib.py:130(moving_average)
       16    0.000    0.000    3.538    0.221 <__array_function__ internals>:177(convolve)
       16    0.000    0.000    3.538    0.221 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:755(convolve)
       16    3.538    0.221    3.538    0.221 {built-in method numpy.core._multiarray_umath.correlate}
      389    0.023    0.000    3.166    0.008 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:1029(get_path)
      593    0.301    0.001    3.164    0.005 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\lines.py:666(recache)
        1    0.000    0.000    2.089    2.089 c:\Users\anton\Documents\GitHub\BachelorProject\Classes\SIMULATOR.py:61(setup)
        1    0.000    0.000    2.089    2.089 c:\Users\anton\Documents\GitHub\BachelorProject\Classes\MARKET.py:55(set_priceranges)
       74    0.000    0.000    2.048    0.028 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\pyplot.py:2526(gca)
       40    0.008    0.000    1.963    0.049 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:233(__call__)
       20    0.001    0.000    1.954    0.098 C:\Users\anton\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\axes\_base.py:401(_plot_args)
