Mon Feb 24 14:03:53 2025    profile.prof

         7457643 function calls (7454146 primitive calls) in 7.408 seconds

   Ordered by: cumulative time
   List reduced from 1816 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    7.408    7.408 c:\Users\ludvi\OneDrive\Dokument\GitHub\BachelorProject\test2.py:12(main)
        2    0.000    0.000    6.568    3.284 c:\Users\ludvi\OneDrive\Dokument\GitHub\BachelorProject\Classes\SIMULATOR.py:22(simulate)
        2    0.628    0.314    6.382    3.191 c:\Users\ludvi\OneDrive\Dokument\GitHub\BachelorProject\Classes\MARKET.py:109(simulate)
   200000    0.195    0.000    4.275    0.000 c:\Users\ludvi\OneDrive\Dokument\GitHub\BachelorProject\Classes\MARKET.py:126(<listcomp>)
   400004    0.241    0.000    4.080    0.000 c:\Users\ludvi\OneDrive\Dokument\GitHub\BachelorProject\Classes\FIRM.py:33(get_action)
   400004    0.940    0.000    3.839    0.000 c:\Users\ludvi\OneDrive\Dokument\GitHub\BachelorProject\Classes\Qlearning.py:40(get_action)
   400000    0.211    0.000    1.419    0.000 c:\Users\ludvi\OneDrive\Dokument\GitHub\BachelorProject\Classes\FIRM.py:44(update_strategy)
   400000    0.852    0.000    1.209    0.000 c:\Users\ludvi\OneDrive\Dokument\GitHub\BachelorProject\Classes\Qlearning.py:65(update_strategy)
   400004    1.126    0.000    1.126    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
   400008    0.344    0.000    0.875    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\random.py:367(choice)
   400004    0.632    0.000    0.632    0.000 c:\Users\ludvi\OneDrive\Dokument\GitHub\BachelorProject\utils\config.py:14(Calvani_Exploration_Rate)
   400008    0.313    0.000    0.434    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\random.py:235(_randbelow_with_getrandbits)
